Date,Tweets,clean,neg,neu,pos,compound,
3-Nov-18,"#Nifty Monday
1, VVAL 10430- Potential Long opportunity.
2, YVAL 10560- Potential Short opportunity.
3, VVAL & Single Print 10650-60- Potential Short opportunity.
4, VVAL & R4 pivot 10705-20- Potential Short opportunity.
5, GAP To be filled 
6, Need to be revisited 10340",nifty vval potential long yval potential short vval single print potential short vval pivot potential short gap fill need revisit,0,0.876,0.124,0.4019,
4-Nov-18,TATA MOTORS #BUY ABOVE 192,tata motor buy,0,1,0,0,
4-Nov-18,#HEROMOTOCO - HEROMOTOCORP BULLISH SET UP,heromotoco heromotocorp bullish set,0,1,0,0,
4-Nov-18,"#Maruti: See how effectively HFTs trade. After giving breakout at 6800 levels, it reached 7000 within an hour and till people realise, its almost over and now may reach 8000 within no time.",maruti see effectively hfts trade give breakout level reach within hour till people realise almost may reach within time,0,0.758,0.242,0.4767,
4-Nov-18,"#Tatamotors 
Interesting candles + short squeeze/covering can lead to at least gap filling  ","tatamotors 
interesting candle short squeeze/covering lead least gap filling",0,0.748,0.252,0.4019,
4-Nov-18,"#MARUTI entering resistance cluster zone of 7135 and 7340. If crosses 7340, then 7500 and 7700 in play. If 7135 does not hold on Monday, back to 6750.  We are 1x FUT short with hedge of 0.5x 7300 CE.",maruti enter resistance cluster zone cross play hold monday back fut short hedge ce,0,0.844,0.156,0.34,
4-Nov-18,"#Apollotyre update:
we had 1 weekly close below 200, but didn't get followthru n price rose towards Res.
Next plan:
I believe weekly is in DNtrend..... we may get good bounce, before fall. So, I shall look to Short based on Daily chart near Res or on breach of Blue line","apollotyre update:
we weekly close get followthru price rise towards res.
next plan:
i believe weekly dntrend may get good bounce fall shall look short base daily chart near breach blue line",0,0.912,0.088,0.4404,
4-Nov-18,"#Maruti update:
Expectedly, Black area visited n monthly gap filled.","maruti update:
expectedly black area visit monthly gap fill",0,1,0,0,
4-Nov-18,EXIDEIND: TRADE STUP COMMING SOON (TRIANGLE PATTERN),exideind trade stup comming soon triangle pattern,0,1,0,0,
4-Nov-18,HEROMOTOCORP BULLISH SETUP ,heromotocorp bullish setup,0,1,0,0,
4-Nov-18,#Maruti positive divergence. Can test 7285 and next 7643.,maruti positive divergence test next,0,0.526,0.474,0.5574,0.22164
5-Nov-18,EXIDEIND: SELL at 253.4 Stoploss 259 Target 242.4 ,exideind sell stoploss target,0,1,0,0,
5-Nov-18,#BajajAuto has announced its highest ever monthly sales ahead of Diwali. The combined sales from the two-wheeler and commercial vehicle business crossed half a million mark in October 2018. ,bajajauto announce high ever monthly sale ahead diwali combined sale two-wheel commercial vehicle business cross half million mark october,0,1,0,0,
5-Nov-18,"The move to place 'BB' long-term issuer credit rating on #TataMotors on CreditWatch with negative implication follows interim results which were weaker than expected, dragged down by #JaguarLandRover, S&P said in a statement",move place bb long-term issuer credit rating tatamotors creditwatch negative implication follow interim result weaker expect drag jaguarlandrover s&p say statement,0.302,0.605,0.093,-0.7096,
5-Nov-18,#Tatamotors 'BB' rating placed on CreditWatch negative after weak Q2 result,tatamotors bb rating place creditwatch negative weak result,0.524,0.476,0,-0.765,
5-Nov-18,"Yes #Maruti fireee from 6590 to 7254 TGT hit
&
Maruti 7000ce from 115 to 380 
Bought 10 Lots Each ..!!","yes maruti fireee tgt hit
&
maruti 
bought lot",0,0.722,0.278,0.4019,
5-Nov-18,"Above  7185............Bought 10000 #MARUTI
All Money for #Charity.............................big donation for kids (New cloth )
Let's see","maruti
all money charity.............................big donation kid new cloth 
let's see",0,1,0,0,
5-Nov-18,"#MARUTI
#Future
Can we see flare upto 7300-7350+++++++++++ ??","maruti
#future
can see flare upto",0,1,0,0,
5-Nov-18,EXIDEIND: SELL at 253.4 Stoploss 259 Target 242.4,exideind sell stoploss target,0,1,0,0,
5-Nov-18,Tata Motors and Gulf Oil inked an agreement to launch a co-branded lubricant range for its passenger vehicles in India,tata motor gulf oil ink agreement launch co-branded lubricant range passenger vehicle india,0,0.789,0.211,0.4939,
5-Nov-18,MOTHERSUMI report card. Looks good for long. Magic no: 174. Possible for a gap up opening tomorrow. ,mothersumi report card look good long magic possible gap opening tomorrow,0,0.775,0.225,0.4404,-0.01384
6-Nov-18,"#TataMotors has already moved up from recent low of 165 to 195 today. Investors can buy at 195 for target 250 by Dec 2019, getting 26% gain in 13 months.",tatamotors already move recent low today investor buy target dec get gain month,0.127,0.667,0.206,0.3182,
6-Nov-18,#BoschLtd plans buyback; profit jumps 19% to ₹420 cr,boschltd plan buyback profit jump cr,0,0.633,0.367,0.4404,
6-Nov-18,"#TataMotors shares top gainer on 
@NSEIndia
 ","tatamotors share top gainer 
@nseindia
",0,0.429,0.571,0.4588,
6-Nov-18,"#Ford is deepening ties with #Mahindra to build passenger vehicles in India, which could also involve sales in other emerging markets",ford deepen tie mahindra build passenger vehicle india could also involve sale emerge market,0,1,0,0,
6-Nov-18,"#TataMotors providing gains +4.1%; most other constituents trading on flattish, or downbeat not",tatamotors provide gain constituent trade flattish downbeat,0,0.638,0.362,0.5267,
6-Nov-18,#TATAMOTORS Quick #Intradaytrade One can Look long opportunity near 196--195 Stop below 194 Target 201--202. Nice r&r Ratio.,tatamotors quick intradaytrade one look long opportunity near stop target nice r&r ratio,0.109,0.446,0.446,0.7783,
6-Nov-18,"As Expected #TATAMOTORS #RELIANCE #HDFCBANK...................EXPLODED !!
Still HOT
We are 50% out !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","expect tatamotors reliance hdfcbank...................exploded 
still hot
we",0,1,0,0,
6-Nov-18,Expecting a slight retracement in the aAuto sector for wave 4 and then a charge ahead for wave 5 - this would complete wave 4a. Revising #MARUTI targets to 7350-7450 - will update over time,expect slight retracement aauto sector wave charge ahead wave would complete wave revise maruti target update time,0,1,0,0,
6-Nov-18,Stock #TATAMOTORS #NSE stockMarket CMP: 198.40 UP TG: 201 SL: 197.10  ,stock tatamotors nse stockmarket cmp tg sl,0,1,0,0,
6-Nov-18,#Mahindra announced name of new Seven Seater SUV,mahindra announce name new seven seater suv,0,1,0,0,0.25224
7-Nov-18,"#ApolloTyre 

Reacted from monthly demand.
CMP: 220 add on dips till 200
Target: 290
SL: 170","apollotyre 

reacted monthly demand.
cmp add dip till",0.176,0.824,0,-0.128,
7-Nov-18,#MARUTI - Holding support ,maruti hold support,0,0.426,0.574,0.4019,
7-Nov-18,MY PICK IS #TATAMOTORS FOR #INVESTMENT FOR NEXT 2--3 YEARS NOW AROUND 190 MAX DIP POSSIBLE 160,pick tatamotors investment next year around max dip possible,0,1,0,0,
7-Nov-18,#Nifty day 4 closes within 10500 - 10600 band.,nifty day close within band,0,0.597,0.403,0.4019,
7-Nov-18,"#Nifty high 10616

So after 10 years , will nifty close positive on #MuhuratTrading ?",nifty high year nifty close positive muhurattrading,0,0.308,0.692,0.8402,
7-Nov-18,Niffty Near Critical Resistance,niffty near critical resistance,0.434,0.566,0,-0.3182,
7-Nov-18,"#Nifty climbed 64.75 points  or 0.65% to 10,598.40.  #MuhuratTrading",nifty climb point muhurattrading,0,0.526,0.474,0.4019,
7-Nov-18,NIFTY FORMING TERMINAL IMPULSE PATTERN  ON 07 NOV 2018 ,nifty form terminal impulse pattern nov,0,0.649,0.351,0.4019,
7-Nov-18,"#Nifty tests 10,600 mark; M&M up ",nifty test mark m&m,0,0.526,0.474,0.4019,0.267055556
7-Nov-18,#NIFTY #nifty50  #BANKNIFTY Universal cables more than 100 rs in less than a month from 244 to 349.8 today high . Mentioned target of 350 almost hit.,nifty banknifty universal cable le month today high mention target almost hit,0,0.803,0.197,0.4019,
8-Nov-18,short TATAMOTORS around 194 sl 201...for target of 170 ,short tatamotors around sl target,0,1,0,0,
8-Nov-18,Exide on weekly chart.. Red line should act as support,exide weekly chart red line act support,0,0.69,0.31,0.4019,
8-Nov-18,#Maruti 2nd round of upmove above 7245 spot,maruti round upmove spot,0,1,0,0,
8-Nov-18,"Is #TATAMOTORS  a sell around 194 with sl 201 ? 

For target 170 .....#positionaltrade for November.","tatamotors sell around sl 

for target positionaltrade november",0,1,0,0,
8-Nov-18,"#ASHOKLEY
#ASHOKLEYLAND
BUY ABOVE 122
TARGETS 125/132
TIME FRAME 7-10 TRADING SESSIONS","ashokley
#ashokleyland
buy frame trading session",0,1,0,0,
8-Nov-18,"#Nifty daily.....
At downward expanding channel resistance.....","nifty daily.....
at downward expand channel resistance",0,0.5,0.5,0.6124,
8-Nov-18,"We could be Near Tops of this Uptrend, 90% possibility we may start falling from here towards 10300-280 #Nifty",could near top uptrend possibility may start fall towards nifty,0,0.64,0.36,0.5423,
8-Nov-18,"On connecting the dots of #crude correction, unchanged #US fed policy, strong #rupee and aligned #employment data..... Signalling #Nifty to get up by atleast 200-250pts.",connect dot crude correction unchanged feed policy strong rupee align employment data signal nifty get atleast,0.163,0.573,0.264,0.3182,
8-Nov-18,"Have Read Certain Strategies of Selling OTM CE/PE Every Month.

Anybody Tried #NIFTY #FUTURES SIP i.e. Buying 1 Lot Every Month?

Just Did Basic Calculations.

Timing Of Start Is Very Important. If Started Correctly, Needs Good Capital (25 Lac) For Margin & MTM Loss. (1/n)","read certain strategy sell otm ce/pe every month.

anybody try nifty future sip i.e buying lot every month?

just basic calculations.

timing start important start correctly need good capital lac margin mtm loss",0.058,0.704,0.239,0.7351,
8-Nov-18,"#Nifty #TataMotors #Chart technical aspect (not a reco to buy/sell/hold), learn technical analysis with",nifty tatamotors chart technical aspect reco buy/sell/hold learn technical analysis,0,0.769,0.231,0.4019,0.30118
9-Nov-18,"""This is the start of a new beginning""- Siddharth Lall  of #eichermotors on launch of twin new generation global reach bikes with focus on India and Europe",start new begin siddharth lall eichermotors launch twin new generation global reach bike focus india europe,0,0.932,0.068,0.0258,
9-Nov-18,#TATAMOTORS - Touched 200,tatamotors touch,0,1,0,0,
9-Nov-18,"I hope the #Ashokleyland price target is a typo because the stock is already at Rs.121 level as of today. Was the buy price Rs.120 for a +10% target or is the target going to be -10% from here, with the stock coming down to Rs.110?",hope ashokleyland price target typo stock already level today buy price target target go stock come,0,0.838,0.162,0.4404,
9-Nov-18,"#MARUTI  7300 from 7070 
My target is 7600+++ ","maruti 
my target",0,1,0,0,
9-Nov-18,"Derivatives Call Buy #MARUTI Future above 7160, with SL 7050 and Target 7370. Visit our website for disclosure",derivative call buy maruti future sl target visit website disclosure,0,1,0,0,
9-Nov-18,#M&M #TataMotors to extend holidays in November 2018 and cut PV production; move aimed to reduce dealer inventories which are at 50-55 days as against 30-35 days earlier; Negative ,m&m tatamotors extend holiday november cut pv production move aim reduce dealer inventory day day earlier negative,0.25,0.56,0.19,-0.34,
9-Nov-18,"Been a good week
 #Maruti 6600-7275 ","good week
 maruti",0,0.408,0.592,0.4404,
9-Nov-18,Bought #Maruti 7200 CE at 175 SL 149,buy maruti ce sl,0,1,0,0,
9-Nov-18,"#OPTION UPDATE : #MARUTI 7200 CE BLASTTT 205 >>>>>>>233, OUR FINAL TARGET ACHIEVED",option update maruti ce blasttt final target achieve,0,1,0,0,
9-Nov-18,"#MARUTI Future at 7239-7248, Target 7370, Call initiated at 7160",maruti future target call initiate,0,1,0,0,0.05666
10-Nov-18,"#MARUTI - Buy on Monday 7300 CE , Book Profit @ 7340",maruti buy monday ce book profit,0,0.633,0.367,0.4404,
10-Nov-18,#MARUTI - Maruti having short pull back rally,maruti maruti short pull back rally,0,1,0,0,
10-Nov-18,#APOLLOTYRE - long,apollotyre long,0,1,0,0,
10-Nov-18,Wait for Triangle break out - #EXIDEIND chart,wait triangle break exideind chart,0,1,0,0,
10-Nov-18,#MARUTI struck in resistance cluster zone. We used the dip on Monday to exit our shorts - made decent money both on Shorts and CE. All positions closed in green. Bullish above 7340 and Bearish below 7135. Will wait for it to deal with the cluster zone and enter trades.,maruti strike resistance cluster zone use dip monday exit short make decent money short ce position close green bullish bearish wait deal cluster zone enter trade,0.057,0.943,0,-0.128,
10-Nov-18,#NIFTY - Long Term #ElliottWave count updated. ,nifty long term elliottwave count update,0,0.649,0.351,0.4019,
10-Nov-18,Falling Expanding Wedge formation #Nifty and continuous rejection at 10600 levels and Bulls facing problem in #supplyzone for #BankNifty in 25846-25922 zone...!!!,fall expand wedge formation nifty continuous rejection level bull face problem supplyzone banknifty zone,0.292,0.472,0.236,-0.296,
10-Nov-18,"#auropharma (W)
Stock seems has formed nice long Cup N Handle and is about to give #BREAKOUT from the same.
RSI behaviour suggests price ready to scale higher and can test 880-900 Lvls.
Keep on #RADAR ","auropharma w)
stock seem form nice long cup handle give breakout same.
rsi behaviour suggest price ready scale high test lvls.
keep radar",0,0.798,0.202,0.6486,
10-Nov-18,"#NIFTY Pullback

In DownTrends, After Nifty Tests 52Week Low Average, Gives Decent #Pullback For 6-8 Weeks.

How Far Pullbacks Go  Before Giving Further Breakdown?

Minimum is 44%, Maximum is 66%","nifty pullback

in downtrends nifty test low average give decent pullback weeks.

how far pullback go give breakdown?

minimum maximum",0.086,0.694,0.22,0.5106,
10-Nov-18,"#Nifty if we have made a necessary bottom in line with lower oil prices and appreciation of dollar, record inflows of mutual funds and supports at critical weekly averges. We see ahead rise of 1755 point from the bottom and even after the high is crossed, trgt 17k to 18755",nifty make necessary bottom line low oil price appreciation dollar record inflows mutual fund support critical weekly averges see ahead rise point bottom even high cross trgt,0.125,0.627,0.248,0.6486,0.22261
11-Nov-18,NIFTY AUTO - Bullish View- History repeats,nifty auto bullish view history repeat,0,0.649,0.351,0.4019,
11-Nov-18,#HEROMOTOCO CMP 2956 #JUSTaVIEW,heromotoco cmp justaview,0,1,0,0,
11-Nov-18,"#Automotive #Automobile
Shares of #MarutiSuzukiIndia up by 2.12%
#HeroMotoCorp up by 1.85%
#TataMotors up by 1.46%
#BajajAuto up by 1.23%
#MahindraAndMahindra up by 0.86%
#TVSMotors up by 0.49%","automotive automobile
shares marutisuzukiindia",0,0.577,0.423,0.296,
11-Nov-18,"#TATAMOTORS
Below 189.......................if sustains .........................will sell 2 lac or more 
Target ?","tatamotors
below sustains sell lac 
target",0,1,0,0,
11-Nov-18,"#Sensex #Trades On #Cautious Note, #TataMotors",sensex trade cautious note tatamotors,0.259,0.741,0,-0.1027,
11-Nov-18,#Nifty Important levels for 12/11/2018,nifty important level,0,0.182,0.818,0.5423,
11-Nov-18,"#NIFTY hourly charts suggest an hourly clise above 10655and a close above 10720 will add further fuel to the momentum, downsides protected by 200 hours avg at 10450. Noevmber end can surprise us by 11030.",nifty hourly chart suggest hourly clise close add fuel momentum downside protect hour avg noevmber end surprise,0.089,0.58,0.33,0.6597,
11-Nov-18,Investors Nightmare - #NIFTY,investor nightmare nifty,0,0.426,0.574,0.4019,
11-Nov-18,"#Nifty remained rangebound between 10,480 and 10,620 for most part of last week",nifty remain rangebound part last week,0,0.649,0.351,0.4019,0.289
11-Nov-18,Catch MARUTI TATAMOTORS and #nifty as #sharemarket open on globle clue. #fall,catch maruti tatamotors nifty sharemarket open globle clue fall,0,0.748,0.252,0.4019,
12-Nov-18,TOP LOSERS –  #TATAMOTORS #HEROMOTOCO ,top loser tatamotors heromotoco,0.472,0.278,0.25,-0.3818,
12-Nov-18,#Tatamotors down 7.25%,tatamotors,0,1,0,0,
12-Nov-18,#Mahindra launches new Scorpio variant priced at Rs 13.99 lakh,mahindra launch new scorpio variant price lakh,0,1,0,0,
12-Nov-18,Eicher Motors makes & sells Royal Enfield motorcycles & has a JV with #Volvo in the commercial vehicles segment,eicher motor make sell royal enfield motorcycle jv volvo commercial vehicle segment,0,1,0,0,
12-Nov-18,"Eicher Motors revenue from operations rose 11% year-on-year in Jul-Sep; the lowest growth in 10 quarters
#EicherMotors
#NiftyAuto Nifty Auto","eicher motor revenue operation rise year-on-year jul-sep low growth quarters
#eichermotors
#niftyauto nifty auto",0.114,0.598,0.288,0.4939,
12-Nov-18,#Tatamotors manage to close well if #Nifty not dragging tomorrow we may see 193 decision Point 185 If breach we let's meet 175 VPOC,tatamotors manage close well nifty drag tomorrow may see decision point breach let's meet vpoc,0.102,0.642,0.257,0.4404,
12-Nov-18,#TataMotors global sales up 5.62% in October http://,tatamotors global sale october http,0,1,0,0,
12-Nov-18,#Mahindra has launched a new variant of the #Scorpio. The S9 variant has been launched at Rs 13.99 lakhs,mahindra launch new variant scorpio variant launch lakh,0,1,0,0,
12-Nov-18,"#TataMotors-owned #JaguarLandRover (#JLR) on Friday reported 4.6 percent decline in total retail sales at 44,282 units in October",tatamotors-owned jaguarlandrover jlr friday report percent decline total retail sale unit october,0,1,0,0,
12-Nov-18,"#Apollotyre...
@218
......

looks positive from here....

BUY position taken....expecting 230-235.......","positive here....

buy position taken....expecting",0,0.526,0.474,0.5574,0.11099
13-Nov-18,#Tatamotors  Level play for tomorrow 14/11/2018,tatamotors level play tomorrow,0,0.556,0.444,0.34,
13-Nov-18,#TATAMOTORS ADR TANK ON MONDAY....WORRY FOR TATA MOTORS IN TODAY'S TRADE !!!,tatamotors adr tank monday....worry tata motor today's trade,0,1,0,0,
13-Nov-18,#HEROMOTOCO forms #NegativeReversal pattern. #BEARISH,heromotoco form negativereversal pattern bearish,0,1,0,0,
13-Nov-18,#AshokLeyland #myview Key prices/levels to note. Bullish above 123 and bearish below 115. Can touch 122-123 if results impact is positive tomorrow. Though not sure how market reacts on resignation of MD & CEO Vinod K. Dasari. ,ashokleyland myview key prices/levels note bullish bearish touch result impact positive tomorrow though sure market react resignation md ceo vinod dasari,0.084,0.69,0.226,0.5719,
13-Nov-18,"#EicherMotors touched an intraday high of Rs 22,209.90 and an intraday low of Rs 21,200.00.",eichermotors touch intraday high intraday low,0.296,0.704,0,-0.2732,
13-Nov-18,Sold #Tatamotors F at 182 today for swing.,sell tatamotors today swing,0,1,0,0,
13-Nov-18,"#Tata Motors 2018 sales growth higher than Maruti, Hyundai – Tiago, Nexon help

#TataMotors has posted 32% growth for the year 2018.

This is about five times the growth rate of Indian auto industry, which has grown by 6.4% in the same period.","tata motor sale growth high maruti hyundai tiago nexon help

#tatamotors post growth year five time growth rate indian auto industry grown period",0,0.644,0.356,0.8591,
13-Nov-18,"U sold #TATAMOTORS ............Yesterday ??No...........u were sleeping ?

Now below 180 if sustains we see 173--171 !!!","sell tatamotors yesterday no...........u sleep 

now sustain see",0,1,0,0,
13-Nov-18,Ashok Leyland Q2 net jumps 37.50% to ₹459.50 cr     ,ashok leyland net jump cr,0,1,0,0,
13-Nov-18,"#EicherMotors 23000, +5%
Less than expected Q2 overtaken by ppositive development from IR front. #RoyalEnfield Oragadam plant strike withdrawn.",eichermotors expect overtaken ppositive development ir front royalenfield oragadam plant strike withdrawn,0.12,0.88,0,-0.128,0.13698
14-Nov-18,#mothersumi after bonus chart....,mothersumi bonus chart,0,0.364,0.636,0.5423,
14-Nov-18,"The market overreacts a lot more these days, #AshokLeyland is a company with good fundamentals, I wouldn't sell it.",market overreact lot day ashokleyland company good fundamental sell,0.168,0.588,0.244,0.2263,
14-Nov-18,#Moody’s changes rating #outlook on #TataMotors to negative ,moody’s change rating outlook tatamotors negative,0.425,0.575,0,-0.5719,
14-Nov-18,#AMARAJABAT - Batteries draining ,amarajabat battery drain,0,1,0,0,
14-Nov-18,#AMARAJABAT CASH : LOOKS WEAK BELOW 729,amarajabat cash look weak,0.492,0.508,0,-0.4404,
14-Nov-18,#AshokLeyland CEO And MD Vinod Dasari To Step Down In March 2019,ashokleyland ceo md vinod dasari step march,0,1,0,0,
14-Nov-18,"#MotherSumi c consolidated revenues of INR 14,854 Cr. and consolidated EBITDA# of INR 1,456 Cr. consolidated EBITDA# of
INR 1,456 Cr VS EBITDA# of INR 1,343 Cr.
Q2 net profit# of INR 495 crores #Q2withCNBCtv18 #earnings","mothersumi consolidate revenue inr cr consolidate ebitda inr cr consolidate ebitda of
inr cr ebitda inr net profit inr crore earnings",0,0.873,0.127,0.4404,
14-Nov-18,"Charts tell you the story ahead of any fundamental changes or news...
Structure was weak and never crossed the top of shoulders to make it positive.
10% down again.. #AshokLeyland","chart tell story ahead fundamental change news...
structure weak never cross top shoulder make ashokleyland",0.257,0.743,0,-0.5411,
14-Nov-18,TVSMOTOR above 560 is bear trap with 100% Pole. (Bullish).,tvsmotor bear trap pole bullish,0.365,0.635,0,-0.3182,
14-Nov-18,#BajajAuto below 2610 in 1 hr candle willl be in bears grip again ,bajajauto hr candle willl bear grip,0,1,0,0,-0.06626
15-Nov-18,"#Jawa Brand Revived by #Mahindra with 3 New Models; Jawa, #JawaFortyTwo & #JawaPerak Launched in India",jawa brand revive mahindra new model jawa jawafortytwo jawaperak launch india,0,0.806,0.194,0.34,
15-Nov-18,"#AshokLeyland 1st support 105, 2nd 100. 3rd support level god to save",ashokleyland support support level god save,0,0.157,0.843,0.8658,
15-Nov-18,"Down 6% today also..
Landing area should reach soon. #mothersumi
Quote Tweet","today also..
landing area reach soon mothersumi
quote tweet",0,0.879,0.121,0.0258,
15-Nov-18,SHORT MOTHERSON SUMI,short motherson sumi,0,1,0,0,
